family,id_clean,species,family_id,true_label,prediction,correct
Dof,XP_009624330.1,Nicotiana_tomentosiformis,1,1,1,1
Dof,Csa10g022470.1,Camelina_sativa,1,1,1,1
Dof,C.cajan_17965,Cajanus_cajan,1,1,1,1
Dof,EPS59263.1,Genlisea_aurea,1,1,1,1
Dof,WALNUT_00012687-RA,Juglans_regia,1,1,1,1
Dof,XP_009801284.1,Nicotiana_sylvestris,1,1,1,1
Dof,Sphfalx0003s0115.1.p,Sphagnum_fallax,1,1,1,1
Dof,Bradi1g03710.3.p,Brachypodium_distachyon,1,1,1,1
Dof,XP_016453403.1,Nicotiana_tabacum,1,1,1,1
Dof,MELO3C007704P1,Cucumis_melo,1,1,1,1
Dof,ORUFI08G21040.1,Oryza_rufipogon,1,1,1,1
Dof,LOC_Os08g38220.1,Oryza_sativa_subsp._japonica,1,1,1,1
Dof,Brast04G090000.1.p,Brachypodium_stacei,1,1,1,1
Dof,Lj3g3v2310050.1,Lotus_japonicus,1,1,1,1
Dof,RrC10219_p1,Raphanus_raphanistrum,1,1,1,1
Dof,XP_010908824.1,Elaeis_guineensis,1,1,1,1
Dof,Brast04G048500.2.p,Brachypodium_stacei,1,1,1,1
Dof,Medtr4g461080.1,Medicago_truncatula,1,1,1,1
Dof,MA_10435735g0010,Picea_abies,1,1,1,1
Dof,Gorai.006G268800.1,Gossypium_raimondii,1,1,1,1
Dof,Tp57577_TGAC_v2_mRNA14953,Trifolium_pratense,1,1,1,1
Dof,Lj4g3v0462790.1,Lotus_japonicus,1,1,0,0
Dof,Sopen11g025790.1,Solanum_pennellii,1,1,1,1
Dof,Sevir.1G022000.1.p,Setaria_viridis,1,1,1,1
Dof,AA96G00024,Aethionema_arabicum,1,1,1,1
Dof,Bostr.10689s0057.1.p,Boechera_stricta,1,1,1,1
Dof,XP_004508727.1,Cicer_arietinum,1,1,1,1
Dof,PGSC0003DMP400015688,Solanum_tuberosum,1,1,0,0
Dof,Manes.18G089100.1.p,Manihot_esculenta,1,1,0,0
Dof,DCAR_027634,Daucus_carota,1,1,1,1
Dof,Aradu.1J1DY,Arachis_duranensis,1,1,1,1
Dof,Aradu.5VY47,Arachis_duranensis,1,1,1,1
Dof,KFK30156.1,Arabis_alpina,1,1,0,0
Dof,XP_016474908.1,Nicotiana_tabacum,1,1,1,1
Dof,Bv1_002710_kgfs.t1,Beta_vulgaris,1,1,1,1
Dof,XP_013631775.1,Brassica_oleracea,1,1,0,0
Dof,Migut.I01007.1.p,Mimulus_guttatus,1,1,1,1
Dof,678298213,Utricularia_gibba,1,1,1,1
Dof,Lsa012255,Lactuca_sativa,1,1,1,1
Dof,evm.TU.contig_34071.1,Carica_papaya,1,1,1,1
Dof,OGLUM03G38970.1,Oryza_glumaepatula,1,1,1,1
Dof,Kalax.0247s0049.1.p,Kalanchoe_marnieriana,1,1,1,1
Dof,CCG032103.1,Populus_euphratica,1,1,1,1
Dof,BGIOSGA006773-PA,Oryza_sativa_subsp._indica,1,1,1,1
Dof,Kaladp0048s0115.1.p,Kalanchoe_laxiflora,1,1,1,1
Dof,Niben101Scf02207g11011.1,Nicotiana_benthamiana,1,1,1,1
Dof,LPERR04G17990.1,Leersia_perrieri,1,1,1,1
Dof,Neem_24733_f_1,Azadirachta_indica,1,1,1,1
Dof,HL.SW.v1.0.G008896.1,Humulus_lupulus,1,1,1,1
Dof,Zmw_sc01131.1.g00250.1,Zoysia_matrella,1,1,1,1
Dof,PH01000901G0540,Phyllostachys_heterocycla,1,1,1,1
Dof,Zmw_sc03879.1.g00070.1,Zoysia_matrella,1,1,1,1
Dof,XP_016504551.1,Nicotiana_tabacum,1,1,1,1
Dof,Traes_6DL_EF6D5D4FA.1,Triticum_aestivum,1,1,1,1
Dof,Traes_1AL_2CAAB9D4A.1,Triticum_aestivum,1,1,1,1
Dof,Prupe.1G388600.1.p,Prunus_persica,1,1,0,0
Dof,Vang06g25000.3,Vigna_angularis,1,1,1,1
Dof,Pavir.2KG433300.1.p,Panicum_virgatum,1,1,1,1
